session_id,event_type,latency_ms
2,EDGE_REMOVED,5.6914
2,EDGE_REMOVED,5.387
2,EDGE_REMOVED,4.9765
2,EDGE_REMOVED,4.0663
2,EDGE_REMOVED,5.5957
2,EDGE_REMOVED,4.2401
2,EDGE_REMOVED,4.2059
2,EDGE_REMOVED,3.4435
2,EDGE_REMOVED,3.4158
2,EDGE_REMOVED,3.3641
2,EDGE_REMOVED,3.2063
2,EDGE_REMOVED,3.0247
2,EDGE_REMOVED,1.8845
2,EDGE_REMOVED,2.6848
2,EDGE_REMOVED,2.7086
2,EDGE_REMOVED,2.1333
2,EDGE_REMOVED,2.2563
2,EDGE_REMOVED,2.2282
2,EDGE_REMOVED,2.3879
2,EDGE_REMOVED,2.4533
2,EDGE_REMOVED,2.9013
2,EDGE_REMOVED,3.6234
2,EDGE_REMOVED,4.8639
2,EDGE_REMOVED,5.1329
2,EDGE_REMOVED,3.4134
2,EDGE_REMOVED,5.0412
2,EDGE_REMOVED,4.6287
2,EDGE_REMOVED,4.7409
2,EDGE_REMOVED,3.8567
2,EDGE_REMOVED,3.8493
2,EDGE_REMOVED,4.2378
2,EDGE_REMOVED,4.6223
2,EDGE_REMOVED,4.8242
2,EDGE_REMOVED,3.3198
2,EDGE_REMOVED,4.9953
2,EDGE_REMOVED,4.5058
2,EDGE_REMOVED,4.5293
2,EDGE_REMOVED,3.8901
2,EDGE_REMOVED,4.5996
2,EDGE_REMOVED,4.9829
2,EDGE_REMOVED,5.4068
2,EDGE_REMOVED,5.5508
2,EDGE_REMOVED,4.6099
2,EDGE_REMOVED,4.242
2,EDGE_REMOVED,4.1807
2,EDGE_REMOVED,4.3178
2,EDGE_REMOVED,4.8241
2,EDGE_REMOVED,4.7011
2,EDGE_REMOVED,5.1685
2,EDGE_REMOVED,3.966
2,EDGE_REMOVED,4.6084
2,EDGE_REMOVED,5.0425
2,EDGE_REMOVED,3.7928
2,EDGE_REMOVED,4.3546
2,EDGE_REMOVED,3.5197
2,EDGE_REMOVED,4.5436
2,EDGE_REMOVED,4.0376
2,EDGE_REMOVED,2.9493
2,EDGE_REMOVED,3.8505
2,EDGE_REMOVED,4.9586
2,EDGE_REMOVED,4.8035
2,EDGE_REMOVED,4.2327
2,EDGE_REMOVED,4.4748
2,PARAM_CHANGED,4.8983
2,PARAM_CHANGED,4.5717
2,PARAM_CHANGED,2.5126
2,PARAM_CHANGED,3.9165
2,PARAM_CHANGED,3.1895
2,PARAM_CHANGED,3.1019
2,PARAM_CHANGED,3.715
2,PARAM_CHANGED,3.0931
2,PARAM_CHANGED,4.4025
2,PARAM_CHANGED,4.3978
2,PARAM_CHANGED,4.881
2,PARAM_CHANGED,3.7095
2,PARAM_CHANGED,3.7814
2,PARAM_CHANGED,2.2239
2,PARAM_CHANGED,1.8057
2,PARAM_CHANGED,1.7306
2,PARAM_CHANGED,1.8357
2,PARAM_CHANGED,2.6634
2,PARAM_CHANGED,2.2684
2,PARAM_CHANGED,2.4
2,PARAM_CHANGED,2.333
2,PARAM_CHANGED,2.4578
2,PARAM_CHANGED,2.8704
2,PARAM_CHANGED,5.053
2,PARAM_CHANGED,5.0947
2,PARAM_CHANGED,4.6466
2,PARAM_CHANGED,6.1076
2,PARAM_CHANGED,5.4145
2,PARAM_CHANGED,5.5475
2,PARAM_CHANGED,3.9969
2,PARAM_CHANGED,3.7476
2,PARAM_CHANGED,5.4478
2,PARAM_CHANGED,4.6817
